Store,Dept,Avg_Demand,Std_Demand,Max_Demand,Safety_Stock,Reorder_Point,EOQ,Inventory_Health
1,1,22513.322937062938,9854.349032299468,57592.12,16259.67590329412,38772.99884035706,1060.9741499457689,Healthy
1,2,46102.09041958042,3440.6732222835767,65615.36,5677.110816767901,51779.20123634832,1518.2570668299295,Healthy
1,3,13150.478041958042,8708.978852534268,51159.17,14369.815106681543,27520.293148639583,810.8784755423602,High Risk
1,4,36964.154475524476,2930.698313474753,47893.23,4835.652217233342,41799.80669275782,1359.4880373788596,Healthy
1,5,24257.94111888112,11330.286495362407,85676.09,18694.97271734797,42952.91383622909,1101.3160563362617,Healthy
1,6,4801.7801398601405,3317.432691331577,28497.52,5473.763940697102,10275.544080557243,489.98878251752564,High Risk
1,7,24566.487412587412,18808.958464688912,166697.72,31034.781466736706,55601.26887932412,1108.2979611229873,High Risk
1,8,35718.25762237762,2490.7691879567255,42663.75,4109.769160128597,39828.02678250622,1336.3805150924945,Healthy
1,9,28062.05223776224,8422.254592935671,50675.72,13896.720078343857,41958.7723161061,1184.5263238476855,Healthy
1,10,31033.386363636364,3509.190494846424,43718.05,5790.164316496599,36823.55068013296,1245.660193705257,Healthy
1,11,24919.270629370632,6135.18312309653,44553.45,10123.052153109275,35042.32278247991,1116.2273654899038,Healthy
1,12,10566.545314685314,1743.067882318456,15560.17,2876.062005825452,13442.607320510766,726.8612424213205,Healthy
1,13,38692.88048951049,2509.8480519953155,44863.15,4141.249285792271,42834.12977530276,1390.914815679064,Healthy
1,14,15268.550909090907,5667.1358754168305,47983.72,9350.77419443777,24619.325103528678,873.7434093911927,Healthy
1,16,24151.06132867133,15457.022600034059,59543.22,25504.087290056195,49655.14861872753,1098.8871945898572,High Risk
1,17,9196.557902097902,2025.0291960503025,19842.0,3341.298173482999,12537.856075580901,678.1061090308028,Healthy
1,18,7765.304424778761,11435.692634746933,53845.12,18868.892847332438,26634.1972721112,623.1093172461298,High Risk
1,19,1259.0185314685314,394.02726605797733,2600.99,650.1449889956625,1909.1635204641939,250.90023231042764,Healthy
1,20,4091.5715384615382,921.3118931033465,7272.2,1520.1646236205218,5611.73616208206,452.3036335506016,Healthy
1,21,7808.450559440559,1067.2450177573348,13551.98,1760.9542792996024,9569.404838740162,624.8380013827808,Healthy
1,22,8052.076153846153,2567.297147859385,20555.07,4236.040293967985,12288.116447814138,634.5106836707382,Healthy
1,23,21623.184685314685,5973.220675311968,62381.0,9855.814114264747,31478.998799579433,1039.7880718039298,Healthy
1,24,6187.38972027972,2988.1750683678847,17223.95,4930.488862807009,11117.87858308673,556.2099298052724,Healthy
1,25,10152.336783216782,1975.402197301874,17880.04,3259.4136255480917,13411.750408764874,712.4723427339752,Healthy
1,26,6767.9972727272725,1905.108020641594,14479.39,3143.42823405863,9911.425506785903,581.7214656829879,Healthy
1,27,1374.6496503496503,687.9051992287405,5131.93,1135.0435787274216,2509.693229077072,262.16880538592403,Healthy
1,28,593.113986013986,212.43688079693726,1151.63,350.52085331494646,943.6348393289325,172.2083020667102,Healthy
1,29,4651.04020979021,1582.8792007806667,14065.97,2611.7506812880997,7262.79089107831,482.2364673990453,Healthy
1,30,3415.295034965035,787.2616368368487,5735.0,1298.9817007808,4714.276735745835,413.2369196335823,Healthy
1,31,2408.533286713287,1599.208761764364,10581.34,2638.6944569112006,5047.227743624488,347.02545199979835,High Risk
1,32,8202.668391608393,5041.978717179085,43995.62,8319.26488334549,16521.93327495388,640.4165984579254,High Risk
1,33,5946.431188811189,2494.81681387646,14881.25,4116.447742896159,10062.878931707348,545.2720050035206,Healthy
1,34,11530.831678321678,2451.83322204421,17933.0,4045.524816372946,15576.356494694624,759.3033543427053,Healthy
